State,Area name,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
KY,Wolfe County,30.1,37.8,24.4,7.6
KY,Woodford County,10.9,27.5,28.8,32.9
LA,Lousiana,15.2,34,27.1,23.7
LA,Acadia Parish,21.8,41.2,23.6,13.4
LA,Allen Parish,20.1,42.9,24.3,12.7
LA,Ascension Parish,11.6,32.4,29.2,26.8
LA,Assumption Parish,26.4,43.7,19.6,10.2
LA,Avoyelles Parish,24.2,38.9,24.9,12.1
LA,Beauregard Parish,15.3,38.1,29.1,17.5
LA,Bienville Parish,17.1,41.7,28.8,12.4
LA,Bossier Parish,10.7,29.5,34.2,25.6
LA,Caddo Parish,13.4,33.4,29.6,23.5
LA,Calcasieu Parish,13.5,33.8,30.8,21.9
LA,Caldwell Parish,23.6,43.2,19,14.2
LA,Cameron Parish,18.1,38.8,31.5,11.6
LA,Catahoula Parish,23.9,42.5,21.9,11.7
LA,Claiborne Parish,18.8,41.4,25.1,14.7
LA,Concordia Parish,22.9,41.4,22.9,12.8
LA,De Soto Parish,17.6,42.8,25.4,14.2
LA,East Baton Rouge Parish,9.7,27.3,28.3,34.7
LA,East Carroll Parish,31.5,38.8,21.2,8.5
LA,East Feliciana Parish,20.2,42.5,24.7,12.6
LA,Evangeline Parish,25.3,39.8,22.1,12.8
LA,Franklin Parish,23.7,42.9,21.4,11.9
LA,Grant Parish,18.3,43.5,29.8,8.4
LA,Iberia Parish,21.3,42.8,23.2,12.7
LA,Iberville Parish,21,40.4,24.1,14.5
LA,Jackson Parish,20.3,43.3,22.9,13.5
LA,Jefferson Parish,14.6,31.2,28.1,26.1
LA,Jefferson Davis Parish,18.9,41.7,23.5,15.9
LA,Lafayette Parish,12.5,30.2,25.2,32.1
LA,Lafourche Parish,22.7,40.2,20.6,16.6
LA,La Salle Parish,22.8,41.8,23.2,12.2
LA,Lincoln Parish,11.6,27.3,24.6,36.5
LA,Livingston Parish,14.4,39,28.3,18.3
LA,Madison Parish,25.2,39,23.3,12.6
LA,Morehouse Parish,20.3,44.2,22.5,13
LA,Natchitoches Parish,13.5,35,33.7,17.8
LA,Orleans Parish,13.8,22.9,26.4,36.8
LA,Ouachita Parish,13.7,33.9,28.2,24.3
LA,Plaquemines Parish,17.1,34.5,28.8,19.6
LA,Pointe Coupee Parish,19.7,40.2,24.8,15.2
LA,Rapides Parish,14.7,37.5,27.2,20.5
LA,Red River Parish,20.6,40,25.5,13.9
LA,Richland Parish,20.5,40.6,25.4,13.5
LA,Sabine Parish,14.7,46.4,25.8,13.1
LA,St. Bernard Parish,17.6,37.3,32.8,12.3
LA,St. Charles Parish,10.5,34.8,30.5,24.2
LA,St. Helena Parish,24.3,40,21.8,13.9
LA,St. James Parish,14.7,42.9,28,14.3
LA,St. John the Baptist Parish,13.8,38,31.9,16.3
LA,St. Landry Parish,23.9,40.9,21,14.2
LA,St. Martin Parish,19.1,42,24.4,14.4
LA,St. Mary Parish,18.7,50,20.8,10.6
LA,St. Tammany Parish,9.8,26.3,30.4,33.5
LA,Tangipahoa Parish,16.7,37.8,26.1,19.4
LA,Tensas Parish,22.3,47.1,20.1,10.5
LA,Terrebonne Parish,21.5,38.6,24.1,15.8
LA,Union Parish,14.4,47.1,23.9,14.6
LA,Vermilion Parish,21.6,41.9,22.3,14.2
LA,Vernon Parish,12.8,37.4,32.9,16.8
LA,Washington Parish,22.7,42.8,22.8,11.7
LA,Webster Parish,16.8,41.6,26.6,15.1
LA,West Baton Rouge Parish,15,38.8,25.6,20.6
LA,West Carroll Parish,21.8,43.4,22.2,12.6
LA,West Feliciana Parish,18,35.7,24.2,22.2
LA,Winn Parish,18.7,43.8,23.1,14.4
ME,Maine,7.7,31.8,29.6,30.9
ME,Androscoggin County,9.7,36.5,31.5,22.2
ME,Aroostook County,12.5,37.2,31.3,18.9
ME,Cumberland County,5,22.3,26.1,46.7
ME,Franklin County,7.4,37.2,30.1,25.4
ME,Hancock County,5.9,32.3,29.5,32.3
ME,Kennebec County,8.3,32.9,31.8,27.1
ME,Knox County,6.3,33.5,29.2,31
ME,Lincoln County,7.2,33.2,26.9,32.7
ME,Oxford County,8.9,43.3,28.8,19
ME,Penobscot County,8.4,33.6,30.9,27.1
ME,Piscataquis County,10,40.4,31.3,18.3
ME,Sagadahoc County,5.9,30.1,28.5,35.5
ME,Somerset County,12.1,40.2,31.2,16.5
ME,Waldo County,7.6,32.6,30.3,29.6
ME,Washington County,11.6,39,28.5,20.8
ME,York County,7,30.6,31.1,31.4
MD,Maryland,10,24.8,25.6,39.6
MD,Allegany County,10,41.9,29.8,18.3
MD,Anne Arundel County,7.9,23.8,27.4,40.9
MD,Baltimore County,8.9,26.2,26.3,38.6
MD,Calvert County,6.1,30.3,32.4,31.1
MD,Caroline County,16.1,40.7,26.4,16.9
MD,Carroll County,7.8,29.9,26.7,35.6
MD,Cecil County,11,37.7,28.5,22.8
MD,Charles County,6.9,31.4,32.8,28.9
MD,Dorchester County,13.1,39.4,26.7,20.8
MD,Frederick County,7.6,24.3,27.5,40.6
MD,Garrett County,10.7,43.8,25.4,20.1
MD,Harford County,7.2,26.6,30.4,35.8
MD,Howard County,4.5,14,20.2,61.4
MD,Kent County,12,28.6,25.2,34.2
MD,Montgomery County,8.7,13.3,18.9,59
MD,Prince George's County,13.5,25.7,28.2,32.7
MD,Queen Anne's County,7.9,29.6,27.7,34.9
MD,St. Mary's County,10.2,30,28.4,31.5
MD,Somerset County,18.1,40.3,26,15.7
MD,Talbot County,9.4,25.6,26.4,38.6
MD,Washington County,13.1,36.4,29.1,21.4
MD,Wicomico County,11.9,32.5,28.8,26.8
MD,Worcester County,9.1,31.6,28.8,30.4
MD,Baltimore city,15.1,29.9,23.8,31.2
MA,Massachusetts,9.6,24.2,23.3,42.9
MA,Barnstable County,4.5,24.3,28.4,42.8
MA,Berkshire County,8.9,29.9,27.9,33.4
MA,Bristol County,15.1,29.9,27,28
MA,Dukes County,4.5,24.3,27.1,44.2
MA,Essex County,10.7,25.2,24.7,39.4
MA,Franklin County,6.9,28,27.9,37.2
MA,Hampden County,14.7,29.5,28.7,27.2
MA,Hampshire County,5.6,23.6,24.3,46.5
MA,Middlesex County,6.9,19.6,18.4,55.2
MA,Nantucket County,4.7,18.4,25.2,51.7
MA,Norfolk County,6.1,19.5,21.4,53
MA,Plymouth County,7.1,27.9,28.3,36.7
MA,Suffolk County,14.5,22.4,18.3,44.8
MA,Worcester County,9.6,28.1,26.3,35.9
MI,Michigan,9.5,29,32.9,28.6
MI,Alcona County,11.4,39.2,33.7,15.7
MI,Alger County,10.8,44.3,27.5,17.4
MI,Allegan County,9.3,37.8,30.1,22.7
MI,Alpena County,8.4,33.5,40.7,17.5
MI,Antrim County,8.5,32,31.3,28.2
MI,Arenac County,12.6,42.3,33.4,11.8
MI,Baraga County,11.2,43.4,30.9,14.5
MI,Barry County,7.3,37.8,34.7,20.1
MI,Bay County,10.4,34.7,36,18.9
MI,Benzie County,6.5,31.8,32.4,29.3
MI,Berrien County,10.4,28.9,33,27.7
MI,Branch County,10.9,41.3,33.6,14.2
MI,Calhoun County,8.9,36.4,33.5,21.2
MI,Cass County,12.1,33.2,35.6,19.1
MI,Charlevoix County,6.4,29.5,33,31
MI,Cheboygan County,9.4,37.9,32.1,20.5
MI,Chippewa County,10.2,35,33.8,21
MI,Clare County,15.3,38.2,34.4,12.1
MI,Clinton County,5.8,27,35.7,31.4
MI,Crawford County,11,33.8,36.5,18.8
MI,Delta County,6.1,33.3,39.1,21.5
MI,Dickinson County,5.2,33.8,34.5,26.5
MI,Eaton County,6.1,28,39.1,26.8
MI,Emmet County,6.2,24.5,35.6,33.7
MI,Genesee County,9.6,31.9,37.6,20.9
MI,Gladwin County,13.3,39.6,33.3,13.8
MI,Gogebic County,6.7,37.6,35.9,19.8
MI,Grand Traverse County,4.8,24.4,35.7,35.1
MI,Gratiot County,9.4,40.4,36.1,14
MI,Hillsdale County,11.7,38.5,32.8,17
MI,Houghton County,7.2,33.7,25.9,33.2
MI,Huron County,11.1,42.2,31.3,15.5
MI,Ingham County,7.3,21.7,32.5,38.5
MI,Ionia County,9.9,39.6,34.4,16.1
MI,Iosco County,11.1,37.8,34.9,16.3
MI,Iron County,8,43.8,29.4,18.8
MI,Isabella County,8.4,31.5,31,29.2
MI,Jackson County,9.4,33,36.3,21.4
MI,Kalamazoo County,6.4,22,33.5,38.1
MI,Kalkaska County,13.3,41.4,33.5,11.9
MI,Kent County,9.7,24.4,30.7,35.2
MI,Keweenaw County,3.9,32.8,32.8,30.4
MI,Lake County,17,42.6,29.1,11.3
MI,Lapeer County,9.3,35.7,37.2,17.8
MI,Leelanau County,4.8,21.8,30.6,42.8
MI,Lenawee County,9.2,37.1,32.8,20.9
MI,Livingston County,4.6,25.9,34.7,34.8
MI,Luce County,12,38.5,33.2,16.3
MI,Mackinac County,9.8,34.3,34.1,21.8
MI,Macomb County,10.3,29.7,35.4,24.5
MI,Manistee County,9.4,36.1,34.5,20
MI,Marquette County,4.7,31.5,32.3,31.5
MI,Mason County,7.6,33.5,35.7,23.2
MI,Mecosta County,10.5,36.2,31.4,21.9
MI,Menominee County,7.6,42.8,32.9,16.7
MI,Midland County,5.7,29,31.2,34
MI,Missaukee County,11.2,42,33.6,13.2
MI,Monroe County,8.8,36.1,36,19.1
MI,Montcalm County,12.1,39.9,35,13
MI,Montmorency County,13.2,43.1,30.9,12.8
MI,Muskegon County,9.2,34.5,37.3,19.1
MI,Newaygo County,13.2,40.3,30.6,15.9
MI,Oakland County,6.1,18.8,28.7,46.4
MI,Oceana County,14.1,35.4,31.7,18.8
MI,Ogemaw County,14.5,39,34.5,12.1
MI,Ontonagon County,7.4,40.7,34.4,17.5
MI,Osceola County,11.8,44.3,30.1,13.8
MI,Oscoda County,16.7,37.6,35,10.7
MI,Otsego County,7.9,33.9,34,24.2
MI,Ottawa County,7.4,28.6,30.6,33.5
MI,Presque Isle County,10.9,39.4,32.4,17.3
MI,Roscommon County,10.1,40.7,34.3,14.9
MI,Saginaw County,10.5,33.6,34.8,21.1
MI,St. Clair County,9.5,34.4,37.8,18.3
MI,St. Joseph County,12.9,38.2,33.2,15.7
MI,Sanilac County,12.1,41.5,32.2,14.2
MI,Schoolcraft County,9.9,44.3,30,15.8
MI,Shiawassee County,7.6,36.3,39,17.2
MI,Tuscola County,10.7,41.7,34,13.6
MI,Van Buren County,12.8,31.9,34.4,20.9
MI,Washtenaw County,4.8,14.9,25.1,55.2
MI,Wayne County,14.1,30,32.5,23.3
MI,Wexford County,10.5,36.8,34.8,17.9
MN,Minnesota,7,24.9,32.6,35.4
MN,Aitkin County,9,37.7,35.8,17.4
MN,Anoka County,6.1,27.9,36.3,29.7
MN,Becker County,7.4,32,36.2,24.5
MN,Beltrami County,8.7,28.1,35.2,28.1
MN,Benton County,7.6,31.1,38.8,22.6
MN,Big Stone County,9.8,43.5,31.7,15
MN,Blue Earth County,5.9,26.7,33.8,33.6
MN,Brown County,7.4,37.6,34.6,20.4
MN,Carlton County,5.9,34.2,37.5,22.5
MN,Carver County,3.6,19,29.3,48.1
MN,Cass County,8.3,33.2,36.1,22.4
MN,Chippewa County,9.3,35.9,35.7,19.1
MN,Chisago County,5.7,33.9,40,20.5
MN,Clay County,5.1,25.4,36,33.5
MN,Clearwater County,14.3,35,34.6,16.1
MN,Cook County,3.4,22.9,31.3,42.4
MN,Cottonwood County,9.6,35.4,33.8,21.2
MN,Crow Wing County,6.3,30.3,39.1,24.3
MN,Dakota County,5.1,20.6,32.4,41.8
MN,Dodge County,5.2,34.7,35.8,24.4
MN,Douglas County,5,29.6,40,25.4
MN,Faribault County,8.4,38.2,35.5,17.8
MN,Fillmore County,8.7,34,36.1,21.1
MN,Freeborn County,10.1,37.3,35.8,16.7
MN,Goodhue County,5.7,32.9,36.4,25
MN,Grant County,6.4,33.7,40.5,19.4
MN,Hennepin County,6.8,16.7,27.3,49.2
MN,Houston County,5.4,33.6,37.1,24
MN,Hubbard County,7.1,30.8,34.9,27.2
MN,Isanti County,8.3,33.8,40.2,17.7
MN,Itasca County,6.4,30.2,40.6,22.7
MN,Jackson County,6.9,34.2,36.9,22
MN,Kanabec County,9.6,40.2,35.6,14.6
MN,Kandiyohi County,11.5,25.8,39.3,23.4
MN,Kittson County,6,38.1,32,23.9
MN,Koochiching County,7.7,36,38.7,17.6
MN,Lac qui Parle County,7.3,36.8,36.8,19.1
MN,Lake County,4,31.5,34.7,29.8
MN,Lake of the Woods County,8.4,39,33.3,19.3
MN,Le Sueur County,7.2,34.9,35.5,22.4
MN,Lincoln County,8.7,38.3,34.7,18.4
MN,Lyon County,8,33.1,33.5,25.4
MN,McLeod County,7,36.4,38.7,17.9
MN,Mahnomen County,13.1,37.9,36.8,12.2
MN,Marshall County,11.4,36.7,32.8,19
MN,Martin County,7.3,38.1,34.5,20.1
MN,Meeker County,7.4,36.3,37.6,18.8
MN,Mille Lacs County,10.2,38.1,36.4,15.3
MN,Morrison County,9.9,38.4,34.6,17.1
MN,Mower County,13.1,31.6,33.7,21.7
MN,Murray County,9.6,37.5,34.1,18.9
MN,Nicollet County,5.8,26.7,35,32.6
MN,Nobles County,22.2,32.5,29.9,15.3
MN,Norman County,8.7,38.3,34.6,18.4
MN,Olmsted County,5.6,19.8,30.6,44
MN,Otter Tail County,7.7,29.3,37.8,25.1
MN,Pennington County,7.5,33.8,38.7,20.1
MN,Pine County,10.4,39.8,35.2,14.5
MN,Pipestone County,12.4,34.6,31.7,21.4
MN,Polk County,8.1,32.3,35.5,24.1
MN,Pope County,6.5,32.6,39,21.9
MN,Ramsey County,9.9,20.9,27.3,41.9
MN,Red Lake County,6.6,38.4,38.1,16.9
MN,Redwood County,9.2,38.4,33.9,18.6
MN,Renville County,10.8,36.3,38.5,14.4
MN,Rice County,9.5,31,31.9,27.5
MN,Rock County,8.2,33.5,35.3,23
MN,Roseau County,7.3,34.9,38.5,19.3
MN,St. Louis County,5.8,28,37.5,28.7
MN,Scott County,5.2,22.6,32.8,39.3
MN,Sherburne County,5.5,27.8,39.3,27.4
MN,Sibley County,9.1,39.2,35,16.7
MN,Stearns County,8,27.9,36.3,27.8
MN,Steele County,8.4,34.3,32.3,25
MN,Stevens County,6.8,29.2,34.7,29.3
MN,Swift County,10.3,33.5,38.3,18
MN,Todd County,13,36.4,35.1,15.5
MN,Traverse County,8,34.6,40.4,17
MN,Wabasha County,7.8,34.5,35.7,21.9
MN,Wadena County,9.6,37.2,39.6,13.6
MN,Waseca County,6.9,35.8,36.8,20.5
MN,Washington County,4,21.1,31.6,43.2
MN,Watonwan County,16.6,41.2,26.9,15.3
MN,Wilkin County,6.1,29.7,40.7,23.5
MN,Winona County,7,27.4,35.8,29.8
MN,Wright County,5.5,29.1,37,28.4
MN,Yellow Medicine County,8.7,35.5,39.7,16.1
MS,Mississippi,16.1,30.3,31.8,21.8
MS,Adams County,21.6,34.6,26,17.8
MS,Alcorn County,18.5,32.6,32.5,16.4
MS,Amite County,20.3,40.7,25.9,13.1
MS,Attala County,23.4,31.3,31.7,13.6
MS,Benton County,30.1,33.9,25.6,10.3
MS,Bolivar County,23.1,24.7,28.5,23.8
MS,Calhoun County,22.9,37.1,28.6,11.3
MS,Carroll County,18.3,33.4,33.8,14.5
MS,Chickasaw County,27.7,37,22.9,12.4
MS,Choctaw County,19.6,38,24.8,17.7
MS,Claiborne County,22.6,30.5,27.8,19.1
MS,Clarke County,19,36.4,32.9,11.7
MS,Clay County,18.4,33.9,27.6,20.1
MS,Coahoma County,21.3,24.5,37.1,17.1
MS,Copiah County,20.1,33.2,32.6,14.2
MS,Covington County,16.9,37.3,28.3,17.4
MS,DeSoto County,10.3,29.7,35.9,24.1
MS,Forrest County,13,26.6,32.7,27.6
MS,Franklin County,15.7,35.1,33.9,15.3
MS,George County,18.3,38.9,30.1,12.6
MS,Greene County,22.9,35.6,32.9,8.6
MS,Grenada County,20,27.6,32.7,19.7
MS,Hancock County,13.4,27.2,36.3,23.2
MS,Harrison County,12.9,29.4,35.4,22.3
MS,Hinds County,13,24.8,33.1,29.1
MS,Holmes County,24.9,41.2,24,9.9
MS,Humphreys County,28.8,32.8,24,14.4
MS,Issaquena County,29.8,37.7,25.8,6.7
MS,Itawamba County,21.5,30.2,34.8,13.4
MS,Jackson County,11.1,31.5,36.6,20.8
MS,Jasper County,16.9,37.2,31.4,14.5
MS,Jefferson County,25.2,36.1,23.7,15
MS,Jefferson Davis County,21.2,35.8,29.1,13.9
MS,Jones County,16.7,30.5,32.2,20.5
MS,Kemper County,16.7,37.5,34.8,11
MS,Lafayette County,10.5,18.8,26.7,43.9
MS,Lamar County,9.2,23.5,32.1,35.2
MS,Lauderdale County,14.5,28.8,36.7,20
MS,Lawrence County,16.8,37.3,30.3,15.6
MS,Leake County,22.7,36.6,27.9,12.8
MS,Lee County,16.2,25,34.9,23.9
MS,Leflore County,21.2,36.5,24.8,17.5
MS,Lincoln County,13.4,37.4,33.2,16
MS,Lowndes County,14.2,31.5,30.7,23.7
MS,Madison County,8.2,16.6,27.6,47.7
MS,Marion County,20.7,39.7,27.5,12.1
MS,Marshall County,18.7,40.1,27.5,13.7
MS,Monroe County,18.9,35.8,28.1,17.2
MS,Montgomery County,20.5,34.3,24.9,20.4
MS,Neshoba County,21.8,34,32,12.2
MS,Newton County,15.3,30.5,37.5,16.6
MS,Noxubee County,27.8,32.2,26.4,13.5
MS,Oktibbeha County,9.5,20.4,26.6,43.5
MS,Panola County,21.6,37.8,25.7,14.9
MS,Pearl River County,16,29.9,37.7,16.4
MS,Perry County,18.7,40.1,30.2,11
MS,Pike County,18.3,35.6,30.5,15.5
MS,Pontotoc County,23.4,30.3,30.4,15.9
MS,Prentiss County,21.3,33.7,32.8,12.2
MS,Quitman County,29.4,30.2,29.1,11.4
MS,Rankin County,10.5,26.3,34,29.2
MS,Scott County,25.7,35.5,26.1,12.7
MS,Sharkey County,26.3,24.2,30.9,18.7
MS,Simpson County,22,33.2,32.2,12.6
MS,Smith County,18.4,42,27.1,12.5
MS,Stone County,19.7,34.1,31.7,14.5
MS,Sunflower County,27.1,29.5,28,15.4
MS,Tallahatchie County,31.1,31.6,25.9,11.4
MS,Tate County,18.4,32.6,31.6,17.4
MS,Tippah County,22.4,35.9,26.2,15.5
MS,Tishomingo County,20.9,41,28.1,10
MS,Tunica County,18.5,31.1,33.6,16.8
MS,Union County,22.2,31.6,31.5,14.8
MS,Walthall County,19.5,45.8,21.3,13.4
MS,Warren County,12.8,31.2,32.7,23.3
MS,Washington County,21.5,30.5,29.2,18.8
MS,Wayne County,21.3,37.7,24.9,16
MS,Webster County,15.4,36.8,30.5,17.3
MS,Wilkinson County,28,40.3,17.9,13.8
MS,Winston County,20.2,32.5,30.7,16.6
MS,Yalobusha County,16.9,38.5,30.5,14.2
MS,Yazoo County,22.7,37.2,25.5,14.6
MO,Missouri,10.4,30.7,30.2,28.6
MO,Adair County,9.4,35.8,24.8,30
MO,Andrew County,8,38.1,30,23.8
MO,Atchison County,9.4,39.6,28.5,22.5
MO,Audrain County,14.5,46.4,24.6,14.5
MO,Barry County,17.8,40.9,26.9,14.5
MO,Barton County,12.8,42.8,26.4,18.1
MO,Bates County,13.3,46.2,25.6,14.9
MO,Benton County,14.1,40.8,31.6,13.4
MO,Bollinger County,20.6,46.5,23.5,9.4
MO,Boone County,5.8,21.2,27,46
MO,Buchanan County,11.8,37,30.5,20.7
MO,Butler County,17.4,36,32.8,13.8
MO,Caldwell County,9.8,43.2,28.7,18.3
MO,Callaway County,14.1,37.2,26.4,22.2
MO,Camden County,10.9,37.7,29.7,21.8
MO,Cape Girardeau County,9.3,32.1,28.1,30.5
MO,Carroll County,13.5,45.2,24.3,17
MO,Carter County,16.9,37.3,29.3,16.5
MO,Cass County,7.6,33.1,33.1,26.1
MO,Cedar County,15.6,40.2,28.9,15.3
MO,Chariton County,10,48.9,22.7,18.4
MO,Christian County,8.1,30.4,33.3,28.2
MO,Clark County,14.9,44,27.6,13.5
MO,Clay County,6.8,28.8,31.6,32.7
MO,Clinton County,8.4,39.4,32.8,19.4
MO,Cole County,8.1,30.7,28.3,32.9
MO,Cooper County,11,38.8,28.7,21.4
MO,Crawford County,22.9,39.3,26.5,11.2
MO,Dade County,13.8,44.1,28.5,13.6
MO,Dallas County,18,42.1,27.5,12.4
MO,Daviess County,15.3,40.8,25.8,18.1
MO,DeKalb County,12.9,45.4,26.4,15.3
MO,Dent County,19.1,40.4,26,14.6
MO,Douglas County,18.6,44.5,26.4,10.5
MO,Dunklin County,24.5,37.4,25,13.1
MO,Franklin County,12,32.8,35.2,20.1
MO,Gasconade County,12.7,39.3,29.1,18.9
MO,Gentry County,10.8,43,28.1,18
MO,Greene County,8.4,28.2,33.3,30.2
MO,Grundy County,12.1,40,29.1,18.8
MO,Harrison County,12.8,45.8,25.2,16.2
MO,Henry County,12.1,42.5,30,15.5
MO,Hickory County,15.1,43.4,31.4,10
MO,Holt County,9.1,43.9,27.1,19.8
MO,Howard County,11.6,38.5,25.5,24.4
MO,Howell County,12.7,39.6,31.2,16.5
MO,Iron County,19.2,42.2,27.6,10.9
MO,Jackson County,9.7,28.4,31,30.9
MO,Jasper County,13,34.3,29.8,22.9
MO,Jefferson County,11.2,31.8,36.9,20.2
MO,Johnson County,8,30.3,33.3,28.4
MO,Knox County,12,46.1,26.2,15.8
MO,Laclede County,16.4,39.2,29.7,14.7
MO,Lafayette County,9.4,43.2,27.4,20.1
MO,Lawrence County,16.8,37,30.9,15.3
MO,Lewis County,13,45.9,27.1,14
MO,Lincoln County,11.7,42.2,30.2,15.9
MO,Linn County,11,46,27.5,15.4
MO,Livingston County,14,38.7,27.9,19.3
MO,McDonald County,23.5,40.6,24.1,11.8
MO,Macon County,12.4,44.4,27.5,15.7
MO,Madison County,17.8,34.4,32.6,15.1
MO,Maries County,13.6,40.3,32,14.1
MO,Marion County,11.6,38.2,29.4,20.9
MO,Mercer County,10.2,46.9,24.9,18
MO,Miller County,13.4,43.1,26.8,16.6
MO,Mississippi County,25.5,39.6,22.5,12.4
MO,Moniteau County,15.8,42.3,22.9,19
MO,Monroe County,10.5,48.3,28.3,12.8
MO,Montgomery County,15.8,44.8,25.7,13.7
MO,Morgan County,20.7,40.1,26.4,12.9
MO,New Madrid County,22,44.3,21,12.7
MO,Newton County,13.3,34.4,32.6,19.7
MO,Nodaway County,7.5,38.6,26.1,27.8
MO,Oregon County,18.2,40.2,29.4,12.2
MO,Osage County,10.1,43.9,27.1,18.9
MO,Ozark County,17.1,44.6,26.1,12.2
MO,Pemiscot County,22.9,41.3,23.7,12.1
MO,Perry County,12.5,44.7,26.8,16
MO,Pettis County,14.9,34.5,32.2,18.4
MO,Phelps County,12.2,29.9,28.3,29.5
MO,Pike County,16,45.1,22.8,16.1
MO,Platte County,4.6,21.8,31.8,41.8
MO,Polk County,12.5,37.1,30.1,20.3
MO,Pulaski County,8.6,27.6,37.9,25.9
MO,Putnam County,10.7,41,29.4,18.9
MO,Ralls County,11.4,49,25.9,13.6
MO,Randolph County,13.7,35.4,35.7,15.3
MO,Ray County,12.9,46,27.3,13.9
MO,Reynolds County,21.4,41.3,26.2,11.1
MO,Ripley County,20,42,27.1,10.9
MO,St. Charles County,5.3,25.1,31.8,37.8
MO,St. Clair County,15.9,42.5,28.2,13.4
MO,Ste. Genevieve County,11.3,40,30.9,17.7
MO,St. Francois County,15.6,37.7,32.7,14
MO,St. Louis County,6.7,21.2,28.9,43.2
MO,Saline County,15.9,39.4,26.7,18
MO,Schuyler County,14.4,46.9,27.1,11.6
MO,Scotland County,22.9,39,26.1,12
MO,Scott County,15.4,42.1,28,14.5
MO,Shannon County,19.2,42.5,22.6,15.8
MO,Shelby County,9.9,42.6,30.5,17
MO,Stoddard County,19.3,40.2,27.3,13.2
MO,Stone County,13.5,33.1,35,18.4
MO,Sullivan County,15.5,49.3,23.1,12.2
MO,Taney County,11.3,34,36.2,18.4
MO,Texas County,16.6,39.9,29.4,14.1
MO,Vernon County,11.5,41.9,29,17.7
MO,Warren County,12.1,38.4,30.9,18.6
MO,Washington County,23.3,38.7,28.6,9.4
MO,Wayne County,24.7,37.5,27.5,10.3
MO,Webster County,13.2,38.4,31.5,16.9
MO,Worth County,12.9,42.1,27.5,17.5
MO,Wright County,19.2,44.2,25.3,11.4
MO,St. Louis city,13.1,23.6,28.2,35
MT,Montana,6.8,29.2,32.7,31.2
MT,Beaverhead County,4.6,29.2,30.7,35.5
MT,Big Horn County,11.8,35.8,35,17.4
MT,Blaine County,10.9,25.9,41.3,21.8
MT,Broadwater County,5.6,36.7,30.6,27
MT,Carbon County,5.9,28.8,33.3,32
MT,Carter County,7.1,36.2,39.2,17.5
MT,Cascade County,8.3,31.6,34,26
MT,Chouteau County,7,32.5,33.2,27.3
MT,Custer County,7.4,29.7,40.5,22.5
MT,Daniels County,4.7,38.2,35.2,21.9
MT,Dawson County,5.9,37.1,36,21
MT,Deer Lodge County,10.2,37.7,34.7,17.4
MT,Fallon County,4.8,35.7,42.1,17.3
MT,Fergus County,6.8,29.8,34.4,28.9
MT,Flathead County,6.1,29.9,34.1,29.9
MT,Gallatin County,3.3,18.8,28.9,49
MT,Garfield County,4.6,41.6,37,16.8
MT,Glacier County,11.1,41.6,28.4,19
MT,Golden Valley County,5.2,40,28.8,25.9
MT,Granite County,8.6,33.1,31.6,26.6
MT,Hill County,10.4,29.7,35.4,24.5
MT,Jefferson County,5.2,28.5,32.3,34
MT,Judith Basin County,4.7,33.4,33.2,28.6
MT,Lake County,8.8,29.7,33.5,28
MT,Lewis and Clark County,5,24.5,32,38.6
MT,Liberty County,25,23.8,34.7,16.6
MT,Lincoln County,12.2,34.9,32.6,20.2
MT,McCone County,6.8,41.1,36,16.1
MT,Madison County,4.7,33.8,32.7,28.9
MT,Meagher County,5.4,40.3,28.3,26.1
MT,Mineral County,10.8,36.3,35.6,17.3
MT,Missoula County,4.5,21.3,31.7,42.5
MT,Musselshell County,10.5,42.5,32.9,14.1
MT,Park County,4.6,31.6,31.4,32.4
MT,Petroleum County,1.2,40.5,29.3,29
MT,Phillips County,10.6,35.8,33.1,20.5
MT,Pondera County,7.4,34,33.8,24.8
MT,Powder River County,5.2,28.4,40,26.4
MT,Powell County,11.3,37.1,30.7,21
MT,Prairie County,7.2,38.3,33.6,20.9
MT,Ravalli County,9,30.3,33.6,27.1
MT,Richland County,7.7,38.1,35.2,19
MT,Roosevelt County,13.2,34.6,35,17.1
MT,Rosebud County,12.9,32.1,37,18
MT,Sanders County,10.7,42.7,29.5,17.1
MT,Sheridan County,7.6,29.3,39.4,23.6
MT,Silver Bow County,8.2,33.8,31.7,26.4
MT,Stillwater County,5.1,35.8,33.8,25.3
MT,Sweet Grass County,4.9,37.1,32.5,25.5
MT,Teton County,7.8,32.4,35.4,24.4
MT,Toole County,14.8,39.1,31.6,14.5
MT,Treasure County,5.8,35.6,35.1,23.5
MT,Valley County,6.2,37.4,35.6,20.9
MT,Wheatland County,20.2,35.3,24.7,19.8
MT,Wibaux County,12.6,40.6,25.9,20.8
MT,Yellowstone County,6.3,30.3,32.4,31
MT,Yellowstone National Park,,,,
NE,Nebraska,8.9,26.3,33.5,31.3
NE,Adams County,10,28,37.1,24.9
NE,Antelope County,7.6,33,40.3,19.1
NE,Arthur County,5.7,26.4,40,27.9
NE,Banner County,2.9,29.2,47.2,20.7
NE,Blaine County,3.7,31.8,41.8,22.7
NE,Boone County,5.8,34.3,39.3,20.6
NE,Box Butte County,8.3,33.6,40,18.2
NE,Boyd County,5.4,41.7,34.6,18.2
